fecha,TmaxC,TminC,Lluvia
1995-09-06,NA,NA,0
1995-09-07,NA,NA,0
1995-09-08,NA,NA,20.3
1995-09-09,NA,NA,0
1995-09-10,NA,NA,0.8
1995-09-11,NA,NA,0
1995-09-12,NA,NA,3
1995-09-13,NA,NA,0
1995-09-14,NA,NA,0
1995-09-15,NA,NA,35.3
1995-09-16,NA,NA,0
1995-09-17,NA,NA,0
1995-09-18,NA,NA,0
1995-09-19,NA,NA,0
1995-09-20,NA,NA,0
1995-09-21,NA,NA,30.9
1995-09-22,NA,NA,9.8
1995-09-23,NA,NA,25.8
1995-09-24,NA,NA,0
1995-09-25,NA,NA,21.2
1995-09-26,NA,NA,0
1995-09-27,NA,NA,66.6
1995-09-28,NA,NA,43.4
1995-09-29,NA,NA,4.2
1995-09-30,NA,NA,0.2
1995-10-01,NA,NA,0.2
1995-10-01,NA,NA,0.2
1995-10-02,NA,NA,65.9
1995-10-03,NA,NA,25.6
1995-10-04,NA,NA,0
1995-10-05,NA,NA,28.8
1995-10-06,NA,NA,0
1995-10-07,NA,NA,70.5
1995-10-08,NA,NA,66.3
1995-10-09,NA,NA,20.8
1995-10-10,NA,NA,22.5
1995-10-11,NA,NA,0
1995-10-12,NA,NA,3.3
1995-10-13,NA,NA,19.2
1995-10-14,NA,NA,37.2
1995-10-15,NA,NA,19.5
1995-10-16,NA,NA,4.1
1995-10-17,NA,NA,1.7
1995-10-18,NA,NA,14.2
1995-10-19,NA,NA,2.4
1995-10-20,NA,NA,0.42
1995-10-21,NA,NA,11.3
1995-10-22,NA,NA,0.3
1995-10-23,NA,NA,0
1995-10-24,NA,NA,0.2
1995-10-25,NA,NA,0.3
1995-10-26,NA,NA,1.2
1995-10-27,NA,NA,0
1995-10-28,NA,NA,11.8
1995-10-29,NA,NA,7.5
1995-10-30,NA,NA,12.5
1995-10-31,NA,NA,0
1995-11-01,NA,NA,0
1995-11-01,NA,NA,0
1995-11-02,NA,NA,0
1995-11-03,NA,NA,0
1995-11-04,NA,NA,0
1995-11-05,NA,NA,3.5
1995-11-06,NA,NA,2.1
1995-11-07,NA,NA,0.7
1995-11-08,NA,NA,0
1995-11-09,NA,NA,0
1995-11-10,NA,NA,0.2
1995-11-11,NA,NA,4.1
1995-11-12,NA,NA,6.7
1995-11-13,NA,NA,0
1995-11-14,NA,NA,0
1995-11-15,NA,NA,0
1995-11-16,NA,NA,0
1995-11-17,NA,NA,0
1995-11-18,NA,NA,0
1995-11-19,NA,NA,0
1995-11-20,NA,NA,2.6
1995-11-21,NA,NA,0
1995-11-22,NA,NA,0
1995-11-23,NA,NA,0
1995-11-24,NA,NA,5.1
1995-11-25,NA,NA,0
1995-11-26,NA,NA,0
1995-11-27,NA,NA,0.6
1995-11-28,NA,NA,0
1995-11-29,NA,NA,2.5
1995-11-30,NA,NA,0.4
1995-12-01,NA,NA,0
1995-12-01,NA,NA,0
1995-12-02,NA,NA,0
1995-12-03,NA,NA,0
1995-12-04,NA,NA,0
1995-12-05,NA,NA,0
1995-12-06,NA,NA,0
1995-12-07,NA,NA,0
1995-12-08,NA,NA,0
1995-12-09,NA,NA,0.5
1995-12-10,NA,NA,0
1995-12-11,NA,NA,0
1995-12-12,NA,NA,0
1995-12-13,NA,NA,16.1
1995-12-14,NA,NA,0.3
1995-12-15,NA,NA,0.3
1995-12-16,NA,NA,0
1995-12-17,NA,NA,0
1995-12-18,NA,NA,0
1995-12-19,NA,NA,0
1995-12-20,NA,NA,0
1995-12-21,NA,NA,0
1995-12-22,NA,NA,0
1995-12-23,NA,NA,0
1995-12-24,NA,NA,NA
1995-12-25,NA,NA,NA
1995-12-26,NA,NA,NA
1995-12-27,NA,NA,0
1995-12-28,NA,NA,0
1995-12-29,NA,NA,0
1995-12-30,NA,NA,0
1995-12-31,NA,NA,0
1996-01-01,NA,NA,0
1996-01-01,NA,NA,0
1996-01-02,NA,NA,55.5
1996-01-03,NA,NA,0
1996-01-04,NA,NA,0
1996-01-05,NA,NA,0
1996-01-06,NA,NA,0
1996-01-07,NA,NA,0
1996-01-08,NA,NA,0
1996-01-09,NA,NA,0
1996-01-10,NA,NA,0
1996-01-11,NA,NA,0
1996-01-12,NA,NA,0
1996-01-13,NA,NA,0
1996-01-14,NA,NA,0
1996-01-15,NA,NA,0
1996-01-16,NA,NA,0
1996-01-17,NA,NA,0
1996-01-18,NA,NA,0
1996-01-19,NA,NA,0
1996-01-20,NA,NA,0
1996-01-21,NA,NA,0
1996-01-22,NA,NA,0
1996-01-23,NA,NA,0
1996-01-24,NA,NA,2.8
1996-01-25,NA,NA,0
1996-01-26,NA,NA,0
1996-01-27,NA,NA,0
1996-01-28,NA,NA,0
1996-01-29,NA,NA,0.7
1996-01-30,NA,NA,NA
1996-01-31,NA,NA,NA
1996-02-01,NA,NA,NA
1996-05-01,NA,NA,1.9
1996-05-02,NA,NA,0
1996-05-03,NA,NA,0
1996-05-04,NA,NA,0
1996-05-05,NA,NA,0
1996-05-06,NA,NA,0
1996-05-07,NA,NA,0
1996-05-08,NA,NA,0
1996-05-09,NA,NA,0
1996-05-10,NA,NA,4.1
1996-05-11,NA,NA,0
1996-05-12,NA,NA,0
1996-05-13,NA,NA,0
1996-05-14,NA,NA,0.3
1996-05-15,NA,NA,9.2
1996-05-16,NA,NA,4.6
1996-05-17,NA,NA,26.1
1996-05-18,NA,NA,20.4
1996-05-19,NA,NA,5.2
1996-05-20,NA,NA,13.7
1996-05-21,NA,NA,9.7
1996-05-22,NA,NA,16.2
1996-05-23,NA,NA,2.3
1996-05-24,NA,NA,0.8
1996-05-25,NA,NA,0
1996-05-26,NA,NA,65.7
1996-05-27,NA,NA,0
1996-05-28,NA,NA,33.7
1996-05-29,NA,NA,0.5
1996-05-30,NA,NA,10.5
1996-05-31,NA,NA,0
1996-06-01,NA,NA,24.7
1996-06-01,NA,NA,24.7
1996-06-02,NA,NA,0.3
1996-06-03,NA,NA,0.1
1996-06-04,NA,NA,0
1996-06-05,NA,NA,0
1996-06-06,NA,NA,3.8
